,gemini-2.5-flash,gpt-4o
kbaa-p114:__COL__:lastname,23,23
kbaa-p114:__COL__:firstname,23,13
kbaa-p114:__COL__:maidenname,23,22
kbaa-p114:__COL__:birthyear,23,22
kbaa-p114:__COL__:deathyear,23,23
kbaa-p114:__COL__:title,22,20
kbaa-p114:__COL__:city,22,20
kbaa-p114:__COL__:publisher,22,19
kbaa-p114:__COL__:publishyear,22,20
kbaa-p114:__COL__:pagecount,22,22
kbaa-p114:__COL__:library,22,21
kbaa-p114:__COL__:description,21,20
kbaa-p114:__COL__:index,23,23
kbaa-p114:matches,291,268
kbaa-p114:total,299,299
kbaa-p114:mismatch_bool,False,False
kbaa-p114:pred_nrows,22,22
kbaa-p114:pred_adj_nrows,23,23
kbaa-p114:gt_nrows,23,23
kbaa-p114:matches_pct,97.32441471571906,89.63210702341136
kbaa-p006:__COL__:lastname,24,23
kbaa-p006:__COL__:firstname,21,21
kbaa-p006:__COL__:maidenname,24,24
kbaa-p006:__COL__:birthyear,24,23
kbaa-p006:__COL__:deathyear,24,23
kbaa-p006:__COL__:title,23,23
kbaa-p006:__COL__:city,24,23
kbaa-p006:__COL__:publisher,24,24
kbaa-p006:__COL__:publishyear,24,24
kbaa-p006:__COL__:pagecount,24,24
kbaa-p006:__COL__:library,23,22
kbaa-p006:__COL__:description,22,21
kbaa-p006:__COL__:index,24,24
kbaa-p006:matches,305,299
kbaa-p006:total,312,312
kbaa-p006:mismatch_bool,False,False
kbaa-p006:pred_nrows,23,24
kbaa-p006:pred_adj_nrows,24,24
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,97.75641025641025,95.83333333333334
kbaa-p010:__COL__:lastname,21,21
kbaa-p010:__COL__:firstname,21,22
kbaa-p010:__COL__:maidenname,22,22
kbaa-p010:__COL__:birthyear,21,22
kbaa-p010:__COL__:deathyear,21,22
kbaa-p010:__COL__:title,22,19
kbaa-p010:__COL__:city,22,21
kbaa-p010:__COL__:publisher,22,22
kbaa-p010:__COL__:publishyear,22,22
kbaa-p010:__COL__:pagecount,22,20
kbaa-p010:__COL__:library,22,22
kbaa-p010:__COL__:description,21,19
kbaa-p010:__COL__:index,22,22
kbaa-p010:matches,281,276
kbaa-p010:total,286,286
kbaa-p010:mismatch_bool,False,False
kbaa-p010:pred_nrows,21,21
kbaa-p010:pred_adj_nrows,22,22
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,98.25174825174825,96.5034965034965
kbaa-p067:__COL__:lastname,18,20
kbaa-p067:__COL__:firstname,18,19
kbaa-p067:__COL__:maidenname,19,19
kbaa-p067:__COL__:birthyear,19,20
kbaa-p067:__COL__:deathyear,19,20
kbaa-p067:__COL__:title,18,17
kbaa-p067:__COL__:city,20,20
kbaa-p067:__COL__:publisher,19,19
kbaa-p067:__COL__:publishyear,20,19
kbaa-p067:__COL__:pagecount,20,19
kbaa-p067:__COL__:library,20,15
kbaa-p067:__COL__:description,15,16
kbaa-p067:__COL__:index,20,20
kbaa-p067:matches,245,243
kbaa-p067:total,260,260
kbaa-p067:mismatch_bool,False,False
kbaa-p067:pred_nrows,20,19
kbaa-p067:pred_adj_nrows,20,20
kbaa-p067:gt_nrows,20,20
kbaa-p067:matches_pct,94.23076923076923,93.46153846153847
kbaa-p071:__COL__:lastname,21,19
kbaa-p071:__COL__:firstname,19,17
kbaa-p071:__COL__:maidenname,20,20
kbaa-p071:__COL__:birthyear,20,17
kbaa-p071:__COL__:deathyear,21,21
kbaa-p071:__COL__:title,20,16
kbaa-p071:__COL__:city,21,16
kbaa-p071:__COL__:publisher,21,15
kbaa-p071:__COL__:publishyear,19,16
kbaa-p071:__COL__:pagecount,21,16
kbaa-p071:__COL__:library,20,17
kbaa-p071:__COL__:description,19,17
kbaa-p071:__COL__:index,21,17
kbaa-p071:matches,263,224
kbaa-p071:total,273,273
kbaa-p071:mismatch_bool,False,False
kbaa-p071:pred_nrows,21,20
kbaa-p071:pred_adj_nrows,21,21
kbaa-p071:gt_nrows,21,21
kbaa-p071:matches_pct,96.33699633699634,82.05128205128204
kbaa-p070:__COL__:lastname,19,
kbaa-p070:__COL__:firstname,19,
kbaa-p070:__COL__:maidenname,19,
kbaa-p070:__COL__:birthyear,19,
kbaa-p070:__COL__:deathyear,19,
kbaa-p070:__COL__:title,17,
kbaa-p070:__COL__:city,17,
kbaa-p070:__COL__:publisher,19,
kbaa-p070:__COL__:publishyear,19,
kbaa-p070:__COL__:pagecount,18,
kbaa-p070:__COL__:library,18,
kbaa-p070:__COL__:description,18,
kbaa-p070:__COL__:index,18,
kbaa-p070:matches,239,
kbaa-p070:total,247,
kbaa-p070:mismatch_bool,False,True
kbaa-p070:pred_nrows,18,17
kbaa-p070:pred_adj_nrows,19,17
kbaa-p070:gt_nrows,19,19
kbaa-p070:matches_pct,96.76113360323887,
kbaa-p066:__COL__:lastname,18,18
kbaa-p066:__COL__:firstname,18,18
kbaa-p066:__COL__:maidenname,18,18
kbaa-p066:__COL__:birthyear,18,18
kbaa-p066:__COL__:deathyear,18,18
kbaa-p066:__COL__:title,18,18
kbaa-p066:__COL__:city,18,17
kbaa-p066:__COL__:publisher,18,15
kbaa-p066:__COL__:publishyear,18,18
kbaa-p066:__COL__:pagecount,18,18
kbaa-p066:__COL__:library,18,18
kbaa-p066:__COL__:description,18,18
kbaa-p066:__COL__:index,18,18
kbaa-p066:matches,234,230
kbaa-p066:total,234,234
kbaa-p066:mismatch_bool,False,False
kbaa-p066:pred_nrows,18,18
kbaa-p066:pred_adj_nrows,18,18
kbaa-p066:gt_nrows,18,18
kbaa-p066:matches_pct,100.0,98.29059829059828
kbaa-p119:__COL__:lastname,20,20
kbaa-p119:__COL__:firstname,20,20
kbaa-p119:__COL__:maidenname,20,20
kbaa-p119:__COL__:birthyear,20,19
kbaa-p119:__COL__:deathyear,20,19
kbaa-p119:__COL__:title,20,20
kbaa-p119:__COL__:city,20,19
kbaa-p119:__COL__:publisher,20,17
kbaa-p119:__COL__:publishyear,20,19
