,gemini-2.5-flash,gpt-4o
kbaa-p003:__COL__:lastname,19,18
kbaa-p003:__COL__:firstname,19,18
kbaa-p003:__COL__:maidenname,19,19
kbaa-p003:__COL__:birthyear,19,19
kbaa-p003:__COL__:deathyear,18,19
kbaa-p003:__COL__:title,18,18
kbaa-p003:__COL__:city,18,18
kbaa-p003:__COL__:publisher,18,16
kbaa-p003:__COL__:publishyear,19,19
kbaa-p003:__COL__:pagecount,19,19
kbaa-p003:__COL__:library,18,5
kbaa-p003:__COL__:description,18,4
kbaa-p003:__COL__:index,19,18
kbaa-p003:matches,241,210
kbaa-p003:total,247,247
kbaa-p003:mismatch_bool,False,False
kbaa-p003:pred_nrows,19,18
kbaa-p003:pred_adj_nrows,19,19
kbaa-p003:gt_nrows,19,19
kbaa-p003:matches_pct,97.57085020242914,85.02024291497976
kbaa-p004:__COL__:lastname,20,20
kbaa-p004:__COL__:firstname,20,20
kbaa-p004:__COL__:maidenname,20,20
kbaa-p004:__COL__:birthyear,20,20
kbaa-p004:__COL__:deathyear,20,20
kbaa-p004:__COL__:title,20,18
kbaa-p004:__COL__:city,20,19
kbaa-p004:__COL__:publisher,16,16
kbaa-p004:__COL__:publishyear,19,18
kbaa-p004:__COL__:pagecount,19,19
kbaa-p004:__COL__:library,20,17
kbaa-p004:__COL__:description,19,18
kbaa-p004:__COL__:index,20,20
kbaa-p004:matches,253,245
kbaa-p004:total,260,260
kbaa-p004:mismatch_bool,False,False
kbaa-p004:pred_nrows,20,19
kbaa-p004:pred_adj_nrows,20,20
kbaa-p004:gt_nrows,20,20
kbaa-p004:matches_pct,97.3076923076923,94.23076923076923
kbaa-p005:matches,,79
kbaa-p005:total,,273
kbaa-p005:mismatch_bool,True,False
kbaa-p005:pred_nrows,19,20
kbaa-p005:pred_adj_nrows,19,21
kbaa-p005:gt_nrows,21,21
kbaa-p005:matches_pct,,28.93772893772894
kbaa-p006:__COL__:lastname,24,24
kbaa-p006:__COL__:firstname,21,21
kbaa-p006:__COL__:maidenname,24,24
kbaa-p006:__COL__:birthyear,24,23
kbaa-p006:__COL__:deathyear,23,24
kbaa-p006:__COL__:title,24,24
kbaa-p006:__COL__:city,24,23
kbaa-p006:__COL__:publisher,24,22
kbaa-p006:__COL__:publishyear,24,23
kbaa-p006:__COL__:pagecount,24,24
kbaa-p006:__COL__:library,23,21
kbaa-p006:__COL__:description,22,20
kbaa-p006:__COL__:index,24,24
kbaa-p006:matches,305,297
kbaa-p006:total,312,312
kbaa-p006:mismatch_bool,False,False
kbaa-p006:pred_nrows,23,23
kbaa-p006:pred_adj_nrows,24,24
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,97.75641025641025,95.1923076923077
kbaa-p007:__COL__:lastname,21,21
kbaa-p007:__COL__:firstname,21,21
kbaa-p007:__COL__:maidenname,21,21
kbaa-p007:__COL__:birthyear,21,21
kbaa-p007:__COL__:deathyear,21,21
kbaa-p007:__COL__:title,21,20
kbaa-p007:__COL__:city,21,20
kbaa-p007:__COL__:publisher,21,21
kbaa-p007:__COL__:publishyear,21,21
kbaa-p007:__COL__:pagecount,20,19
kbaa-p007:__COL__:library,20,20
kbaa-p007:__COL__:description,20,19
kbaa-p007:__COL__:index,21,20
kbaa-p007:matches,270,265
kbaa-p007:total,273,273
kbaa-p007:mismatch_bool,False,False
kbaa-p007:pred_nrows,20,20
kbaa-p007:pred_adj_nrows,21,21
kbaa-p007:gt_nrows,21,21
kbaa-p007:matches_pct,98.9010989010989,97.06959706959707
kbaa-p008:__COL__:lastname,17,17
kbaa-p008:__COL__:firstname,15,16
kbaa-p008:__COL__:maidenname,22,21
kbaa-p008:__COL__:birthyear,17,15
kbaa-p008:__COL__:deathyear,20,18
kbaa-p008:__COL__:title,14,12
kbaa-p008:__COL__:city,16,15
kbaa-p008:__COL__:publisher,15,14
kbaa-p008:__COL__:publishyear,15,15
kbaa-p008:__COL__:pagecount,16,15
kbaa-p008:__COL__:library,15,14
kbaa-p008:__COL__:description,15,14
kbaa-p008:__COL__:index,15,15
kbaa-p008:matches,212,201
kbaa-p008:total,286,286
kbaa-p008:mismatch_bool,False,False
kbaa-p008:pred_nrows,21,21
kbaa-p008:pred_adj_nrows,22,22
kbaa-p008:gt_nrows,22,22
kbaa-p008:matches_pct,74.12587412587412,70.27972027972028
kbaa-p009:matches,,
kbaa-p009:total,,
kbaa-p009:mismatch_bool,True,True
kbaa-p009:pred_nrows,21,21
kbaa-p009:pred_adj_nrows,21,21
kbaa-p009:gt_nrows,23,23
kbaa-p009:matches_pct,,
kbaa-p010:__COL__:lastname,21,
kbaa-p010:__COL__:firstname,21,
kbaa-p010:__COL__:maidenname,22,
kbaa-p010:__COL__:birthyear,21,
kbaa-p010:__COL__:deathyear,20,
kbaa-p010:__COL__:title,20,
kbaa-p010:__COL__:city,22,
kbaa-p010:__COL__:publisher,22,
kbaa-p010:__COL__:publishyear,22,
kbaa-p010:__COL__:pagecount,22,
kbaa-p010:__COL__:library,22,
kbaa-p010:__COL__:description,19,
kbaa-p010:__COL__:index,22,
kbaa-p010:matches,276,
kbaa-p010:total,286,
kbaa-p010:mismatch_bool,False,True
kbaa-p010:pred_nrows,21,18
kbaa-p010:pred_adj_nrows,22,18
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,96.5034965034965,
kbaa-p011:__COL__:lastname,22,
kbaa-p011:__COL__:firstname,22,
kbaa-p011:__COL__:maidenname,22,
kbaa-p011:__COL__:birthyear,22,
kbaa-p011:__COL__:deathyear,21,
kbaa-p011:__COL__:title,21,
kbaa-p011:__COL__:city,21,
kbaa-p011:__COL__:publisher,21,
kbaa-p011:__COL__:publishyear,21,
kbaa-p011:__COL__:pagecount,21,
kbaa-p011:__COL__:library,21,
kbaa-p011:__COL__:description,19,
kbaa-p011:__COL__:index,22,
kbaa-p011:matches,276,
kbaa-p011:total,286,
kbaa-p011:mismatch_bool,False,True
kbaa-p011:pred_nrows,21,19
kbaa-p011:pred_adj_nrows,22,19
kbaa-p011:gt_nrows,22,22
kbaa-p011:matches_pct,96.5034965034965,
kbaa-p012:__COL__:lastname,21,21
kbaa-p012:__COL__:firstname,21,21
kbaa-p012:__COL__:maidenname,21,21
kbaa-p012:__COL__:birthyear,21,20
kbaa-p012:__COL__:deathyear,21,20
kbaa-p012:__COL__:title,19,19
kbaa-p012:__COL__:city,18,17
kbaa-p012:__COL__:publisher,20,17
kbaa-p012:__COL__:publishyear,19,20
kbaa-p012:__COL__:pagecount,20,19
kbaa-p012:__COL__:library,20,20
kbaa-p012:__COL__:description,16,19
kbaa-p012:__COL__:index,21,21
kbaa-p012:matches,258,255
kbaa-p012:total,273,273
kbaa-p012:mismatch_bool,False,False
kbaa-p012:pred_nrows,20,20
kbaa-p012:pred_adj_nrows,21,21
kbaa-p012:gt_nrows,21,21
kbaa-p012:matches_pct,94.5054945054945,93.4065934065934
kbaa-p038:__COL__:lastname,21,21
kbaa-p038:__COL__:firstname,21,20
kbaa-p038:__COL__:maidenname,21,20
kbaa-p038:__COL__:birthyear,21,21
kbaa-p038:__COL__:deathyear,21,21
kbaa-p038:__COL__:title,20,21
kbaa-p038:__COL__:city,21,21
kbaa-p038:__COL__:publisher,20,20
kbaa-p038:__COL__:publishyear,21,21
kbaa-p038:__COL__:pagecount,21,20
kbaa-p038:__COL__:library,21,20
kbaa-p038:__COL__:description,16,21
kbaa-p038:__COL__:index,21,21
kbaa-p038:matches,266,268
kbaa-p038:total,273,273
kbaa-p038:mismatch_bool,False,False
kbaa-p038:pred_nrows,21,21
kbaa-p038:pred_adj_nrows,21,21
kbaa-p038:gt_nrows,21,21
kbaa-p038:matches_pct,97.43589743589743,98.16849816849816
kbaa-p039:__COL__:lastname,21,21
kbaa-p039:__COL__:firstname,21,21
kbaa-p039:__COL__:maidenname,21,21
kbaa-p039:__COL__:birthyear,21,21
kbaa-p039:__COL__:deathyear,21,21
kbaa-p039:__COL__:title,11,20
kbaa-p039:__COL__:city,21,20
kbaa-p039:__COL__:publisher,20,19
kbaa-p039:__COL__:publishyear,21,21
kbaa-p039:__COL__:pagecount,21,19
kbaa-p039:__COL__:library,21,21
kbaa-p039:__COL__:description,19,19
kbaa-p039:__COL__:index,21,21
kbaa-p039:matches,260,265
kbaa-p039:total,273,273
kbaa-p039:mismatch_bool,False,False
kbaa-p039:pred_nrows,20,20
kbaa-p039:pred_adj_nrows,21,21
kbaa-p039:gt_nrows,21,21
